"runName","chain","repId","rootConfig","count","nTrees"
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",5,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3",2,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D4",8,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D3,D4",1,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D4",12,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4",17,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",4,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B1,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",13,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",4,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",20,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",29,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",12,171
"v4cross-b-pt5-rep04-aware","aware",4,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",15,171
"v4cross-b-pt5-rep05-blind","blind",5,"A1,A2,A3,A4",4,183
"v4cross-b-pt5-rep05-blind","blind",5,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",8,183
