"char","type","pZ0_eco1","pZ1_eco1","pZ2_eco1","pAff_eco1","pZ0_eco2","pZ1_eco2","pZ2_eco2","pAff_eco2","pZ0_eco3","pZ1_eco3","pZ2_eco3","pAff_eco3"
61,"neomorphic",0.614213197969543,0.0846023688663283,0.301184433164129,0.385786802030457,0.465313028764805,0.301184433164129,0.233502538071066,0.534686971235195,0.483925549915398,0.194585448392555,0.321489001692047,0.516074450084602
62,"transformational",0.289340101522843,0.011844331641286,0.698815566835871,0.710659898477157,0.439932318104907,0.279187817258883,0.28087986463621,0.560067681895093,0.450084602368866,0.165820642978003,0.38409475465313,0.549915397631134
63,"neomorphic",0.331641285956007,0.0287648054145516,0.639593908629442,0.668358714043993,0.482233502538071,0.257191201353638,0.260575296108291,0.517766497461929,0.553299492385787,0.267343485617597,0.179357021996616,0.446700507614213
64,"neomorphic",0.0862944162436548,0.00169204737732657,0.912013536379019,0.913705583756345,0.514382402707276,0.263959390862944,0.22165820642978,0.485617597292724,0.434856175972927,0.538071065989848,0.027072758037225,0.565143824027073
65,"transformational",0.602368866328257,0.0981387478849408,0.299492385786802,0.397631133671743,0.451776649746193,0.22673434856176,0.321489001692047,0.548223350253807,0.49746192893401,0.182741116751269,0.319796954314721,0.50253807106599
66,"neomorphic",0.302876480541455,0.0372250423011844,0.65989847715736,0.697123519458545,0.439932318104907,0.245346869712352,0.314720812182741,0.560067681895093,0.429780033840948,0.0693739424703892,0.500846023688663,0.570219966159052
67,"transformational",0.411167512690355,0.566835871404399,0.0219966159052453,0.588832487309645,0.450084602368866,0.186125211505922,0.363790186125212,0.549915397631134,0.392554991539763,0.0609137055837563,0.546531302876481,0.607445008460237
68,"neomorphic",0.297800338409475,0.0219966159052453,0.680203045685279,0.702199661590525,0.473773265651438,0.284263959390863,0.241962774957699,0.526226734348562,0.49746192893401,0.284263959390863,0.218274111675127,0.50253807106599
69,"transformational",0.538071065989848,0.433164128595601,0.0287648054145516,0.461928934010152,0.463620981387479,0.135363790186125,0.401015228426396,0.536379018612521,0.499153976311337,0.189509306260575,0.311336717428088,0.500846023688663
70,"neomorphic",0.0642978003384095,0,0.935702199661591,0.935702199661591,0.269035532994924,0.707275803722504,0.0236886632825719,0.730964467005076,0.411167512690355,0.0169204737732657,0.571912013536379,0.588832487309645
